"Variance","Skewness","Curtosis","Entropy","Class"
"1332",0.22432,-0.52147,-0.40386,1.2017,1
"916",-1.749,-6.332,6.0987,0.14266,1
"945",-2.121,-0.05588,1.949,1.353,1
"267",-0.016103,9.7484,0.15394,-1.6134,0
"490",2.8237,2.8597,0.19678,0.57196,0
"898",-0.28696,3.1784,-3.5767,-3.1896,1
"1295",-7.0364,9.2931,0.16594,-4.5396,1
"936",-1.8448,1.254,0.27218,-1.0728,1
"1198",-0.82053,0.65181,-0.48869,-0.52716,1
"1238",-0.88728,2.808,-3.1432,-1.2035,1
"204",4.1757,10.2615,-3.8552,-4.3056,0
"1314",-1.5078,-7.3191,7.8981,1.2289,1
"673",2.3164,-2.628,3.1529,-0.08622,0
"699",3.2403,-3.7082,5.2804,0.41291,0
"165",4.8851,1.5995,-0.00029081,1.6401,0
"78",0.049175,6.1437,1.7828,-0.72113,0
"1305",-5.2943,-5.1463,10.3332,-1.1181,1
"68",2.4235,9.5332,-3.0789,-2.7746,0
"1063",-0.11716,0.60422,-0.38587,-0.059065,1
"65",5.4021,3.1039,-1.1536,1.5651,0
"1288",-3.9933,2.6218,0.62863,-1.1595,1
"66",2.5367,2.599,2.0938,0.20085,0
"923",-1.4174,-2.2535,1.518,0.61981,1
"1365",-2.8391,-6.63,10.4849,-0.42113,1
"556",2.2893,3.733,0.6312,-0.39786,0
"939",-4.3773,-5.5167,10.939,-0.4082,1
"921",-5.4808,8.1819,0.27818,-5.0323,1
"983",-3.518,2.8763,0.1548,-1.2086,1
"18",0.80355,2.8473,4.3439,0.6017,0
"1355",-3.3924,3.3564,-0.72004,-3.5233,1
"130",3.4663,1.1112,1.7425,1.3388,0
"161",5.0452,3.8964,-1.4304,0.86291,0
"825",-0.4294,-0.14693,0.044265,-0.15605,1
"159",2.2634,-4.4862,3.6558,-0.61251,0
"503",2.0051,-6.8638,8.132,-0.2401,0
"999",-3.0866,-6.6362,10.5405,-0.89182,1
"279",0.89566,7.7763,-2.7473,-1.9353,0
"46",-0.7869,9.5663,-3.7867,-7.5034,0
"1158",-5.2049,7.259,0.070827,-7.3004,1
"405",0.3798,0.7098,0.7572,-0.4444,0
"1335",-1.0833,-0.31247,1.2815,0.41291,1
"298",1.2706,8.035,-0.19651,-2.1888,0
"872",-0.75793,2.5349,-3.0464,-1.2629,1
"943",-3.3793,-13.7731,17.9274,-2.0323,1
"593",0.95626,2.4728,4.4578,0.21636,0
"1213",-2.456,-0.24418,1.4041,-0.45863,1
"1117",-0.49948,1.7734,-2.2469,-0.68104,1
"1093",-1.5572,-9.8808,8.1088,-1.0806,1
"988",-0.55648,3.2136,-3.3085,-2.7965,1
"480",2.0962,2.4769,1.9379,-0.040962,0
"1146",-2.3221,-9.3304,9.233,-0.79871,1
"1144",-2.4621,2.7645,-0.62578,-2.8573,1
"522",0.81356,9.1566,-2.1492,-4.1814,0
"784",0.47368,3.3605,-4.5064,-4.0431,1
"54",2.549,6.1499,-1.1605,-1.2371,0
"307",0.27451,9.2186,-3.2863,-4.8448,0
"745",4.9852,8.3516,-2.5425,-1.2823,0
"970",-2.1786,-6.4479,6.0344,-0.20777,1
"262",3.1557,2.8908,0.59693,0.79825,0
"1096",1.164,3.913,-4.5544,-3.8672,1
"922",-2.8833,1.7713,0.68946,-0.4638,1
"1223",0.30081,0.17381,-1.7542,0.48921,1
"903",-2.8957,-12.0205,11.9149,-2.7552,1
"523",0.52855,0.96427,4.0243,-1.0483,0
"959",-0.36372,3.0439,-3.4816,-2.7836,1
"1168",-0.87874,-2.2121,-0.051701,0.099985,1
"1173",-6.9599,8.9931,0.2182,-4.572,1
"19",1.4479,-4.8794,8.3428,-2.1086,0
"494",2.8084,11.3045,-3.3394,-4.4194,0
"64",1.7939,-1.1174,1.5454,-0.26079,0
"888",-3.2692,-12.7406,15.5573,-0.14182,1
"820",-1.5322,-5.0966,6.6779,0.17498,1
"1259",-0.62043,0.5587,-0.38587,-0.66423,1
"473",3.8384,6.1851,-2.0439,-0.033204,0
"81",2.8033,9.0862,-3.3668,-1.0224,0
"868",-6.5084,8.7696,0.23191,-3.937,1
"978",-1.239,-6.541,4.8151,-0.033204,1
"985",-0.69745,-1.7672,-0.34474,-0.12372,1
"321",0.5195,-3.2633,3.0895,-0.9849,0
"1086",-2.6649,-12.813,12.6689,-1.9082,1
"44",0.96441,5.8395,2.3235,0.066365,0
"1134",-2.0046,-0.49457,1.333,1.6543,1
"435",5.6272,10.0857,-4.2931,-3.8142,0
"29",6.5633,9.8187,-4.4113,-3.2258,0
"1013",-2.2677,3.2964,-2.2563,-2.4642,1
"1187",-4.244,-13.0634,17.1116,-2.8017,1
"730",-0.95923,0.091039,6.2204,-1.4828,0
"850",-0.60975,-4.002,1.8471,0.6017,1
"548",3.4647,-3.9172,3.9746,0.36119,0
"89",4.1197,-2.7956,2.0707,0.67412,0
"37",2.6881,6.0195,-0.46641,-0.69268,0
"280",1.9265,7.7557,-0.16823,-3.0771,0
"525",0.33111,4.5731,2.057,-0.18967,0
"584",2.3678,-6.839,8.4207,-0.44829,0
"442",0.86816,10.2429,-1.4912,-4.0082,0
"1262",-1.9116,-6.1603,5.606,0.48533,1
"547",1.4507,8.7903,-2.2324,-0.65259,0
"744",4.7926,1.7071,-0.051701,1.4926,0
"572",2.2517,-5.1422,4.2916,-1.2487,0
"1122",-4.6765,-5.6636,10.969,-0.33449,1
"197",4.1454,7.257,-1.9153,-0.86078,0
"774",-1.5252,-6.2534,5.3524,0.59912,1
"469",4.5707,7.2094,-3.2794,-1.4944,0
"372",4.1529,-3.9358,2.8633,-0.017686,0
"357",2.7206,9.0821,-3.3111,-0.96811,0
"775",-0.61442,-0.091058,-0.31818,0.50214,1
"657",-1.3612,10.694,1.7022,-2.9026,0
"112",1.518,5.6946,0.094818,-0.026738,0
"1123",-2.0285,3.8468,-0.63435,-1.175,1
"573",5.504,10.3671,-4.413,-4.0211,0
"738",4.1542,7.2756,-2.4766,-1.2099,0
"218",1.3264,1.0326,5.6566,-0.41337,0
"894",-0.77288,-7.4473,6.492,0.36119,1
"627",1.8384,6.063,0.54723,0.51248,0
"707",3.5829,1.4423,1.0219,1.4008,0
"1279",0.53936,3.8944,-4.8166,-4.3418,1
"787",-2.0962,-7.1059,6.6188,-0.33708,1
"949",-3.4917,-12.1736,14.3689,-0.61639,1
"416",3.8023,-3.8696,4.044,0.95343,0
"313",1.5902,2.2948,3.2403,0.18404,0
"681",3.4465,2.9508,1.0271,0.5461,0
"559",4.3846,-4.8794,3.3662,-0.029324,0
"952",-1.6936,2.7852,-2.1835,-1.9276,1
"104",3.3397,-4.6145,3.9823,-0.23751,0
"436",1.2138,8.7986,-2.1672,-0.74182,0
"353",0.3292,-4.4552,4.5718,-0.9888,0
"111",3.9922,-4.4676,3.7304,-0.1095,0
"136",4.1605,11.2196,-3.6136,-4.0819,0
"1169",0.74067,1.7299,-3.1963,-0.1457,1
"1177",-0.59587,2.4811,-2.8673,-0.89828,1
"1050",-3.9594,4.0289,-0.35845,-3.8957,1
"1307",-1.2244,1.7485,-1.4801,-1.4181,1
"35",-1.6162,0.80908,8.1628,0.60817,0
"1027",0.11806,0.39108,-0.98223,0.42843,1
"758",2.6606,3.1681,1.9619,0.18662,0
"1043",-5.1661,8.0433,0.044265,-4.4983,1
"186",-1.2537,10.8803,1.931,-4.3237,0
"185",-1.7559,11.9459,3.0946,-4.8978,0
"626",4.0948,-2.9674,2.3689,0.75429,0
"466",-2.6989,12.1984,0.67661,-8.5482,0
"438",0.5415,6.0319,1.6825,-0.46122,0
"1004",-3.8203,-13.0551,16.9583,-2.3052,1
"869",-4.4996,3.4288,0.56265,-1.1672,1
"1350",-1.5851,-2.1562,1.7082,0.9017,1
"158",3.9479,-3.7723,2.883,0.019813,0
"474",2.8209,7.3108,-0.81857,-1.8784,0
"476",3.8213,0.23175,2.0133,2.0564,0
"498",-0.048008,-1.6037,8.4756,0.75558,0
"339",0.96414,5.616,2.2138,-0.12501,0
"259",3.744,0.79459,0.95851,1.0077,0
"190",2.7365,-5.0325,6.6608,-0.57889,0
"400",2.9695,5.6222,0.27561,-1.1556,0
"832",-0.39416,-0.020702,-0.066267,-0.44699,1
"1232",-0.77848,3.4019,-3.4859,-3.5569,1
"1091",-1.4628,-1.5706,2.4357,0.49826,1
"1181",-2.2183,-1.254,2.9986,0.36378,1
"422",-1.1497,1.2954,7.701,0.62627,0
"301",0.3292,-4.4552,4.5718,-0.9888,0
"63",4.2586,11.2962,-4.0943,-4.3457,0
"415",1.9818,9.2621,-3.521,-1.872,0
"439",4.0524,5.6802,-1.9693,0.026279,0
"1201",-1.8343,-6.5907,5.6429,0.54998,1
"796",0.50813,0.47799,-1.9804,0.57714,1
"565",2.0193,0.82356,4.6369,1.4202,0
"42",-0.2062,9.2207,-3.7044,-6.8103,0
"1231",0.6212,3.6771,-4.0771,-2.0711,1
"330",1.6988,2.9094,2.9044,0.11033,0
"990",-6.7526,8.8172,-0.061983,-3.725,1
"122",4.0713,10.4023,-4.1722,-4.7582,0
"806",-3.6085,3.3253,-0.51954,-3.5737,1
"792",-4.4779,7.3708,-0.31218,-6.7754,1
"1",3.6216,8.6661,-2.8073,-0.44699,0
"671",3.482,-4.1634,3.5008,-0.078462,0
"334",3.0009,5.8126,-2.2306,-0.66553,0
"1206",-1.6641,-1.3678,1.997,0.52283,1
"179",-0.13144,-1.7775,8.3316,0.35214,0
"914",-4.2249,6.2699,0.15822,-5.5457,1
"542",3.6667,4.302,0.55923,0.33791,0
"941",0.18868,0.70148,-0.51182,0.0055892,1
"67",4.6054,-4.0765,2.7587,0.31981,0
"538",-0.10648,-0.76771,7.7575,0.64179,0
"891",-1.6637,3.2881,-2.2701,-2.2224,1
"746",0.75736,3.0294,2.9164,-0.068117,0
"449",3.9364,10.5885,-3.725,-4.3133,0
"853",-4.8861,7.0542,-0.17252,-6.959,1
"272",5.3915,9.9946,-3.8081,-3.3642,0
"1101",1.4378,0.66837,-2.0267,1.0271,1
"102",4.5597,-2.4211,2.6413,1.6168,0
"10",1.5356,9.1772,-2.2718,-0.73535,0
"424",-0.12196,8.8068,0.94566,-4.2267,0
"396",1.2616,4.4303,-1.3335,-1.7517,0
"1292",0.52374,3.644,-4.0746,-1.9909,1
"443",3.359,9.8022,-3.8209,-3.7133,0
"1236",-3.5359,0.30417,0.6569,-0.2957,1
"2",4.5459,8.1674,-2.4586,-1.4621,0
"595",5.2032,3.5116,-1.2538,1.0129,0
"1149",-0.26654,-0.64562,-0.42014,0.89136,1
"271",3.8417,10.0215,-4.2699,-4.9159,0
"724",0.74841,7.2756,1.1504,-0.5388,0
"291",2.5678,3.5136,0.61406,-0.40691,0
"654",3.3577,-4.3062,6.0241,0.18274,0
"1346",2.2279,4.0951,-4.8037,-2.1112,1
"647",1.162,10.2926,-1.2821,-4.0392,0
"862",-2.3797,-1.4402,1.1273,0.16076,1
"680",0.77805,6.6424,-1.1425,-1.0573,0
"838",-6.2815,6.6651,0.52581,-7.0107,1
"428",-1.3,10.2678,-2.953,-5.8638,0
"238",3.8905,-2.1521,2.6302,1.1047,0
"454",3.5761,9.7753,-3.9795,-3.4638,0
"1033",0.16358,-3.3584,1.3749,1.3569,1
"935",-1.6176,1.0926,-0.35502,-0.59958,1
"1166",-3.8053,2.4273,0.6809,-1.0871,1
"1334",-2.8619,4.5193,-0.58123,-4.2629,1
"1303",-2.5724,-0.95602,2.7073,-0.16639,1
"1025",-3.0061,-12.2377,11.9552,-2.1603,1
"504",4.9294,0.27727,0.20792,0.33662,0
"195",-2.341,12.3784,0.70403,-7.5836,0
"601",1.1558,6.4003,1.5506,0.6961,0
"1089",0.64376,3.764,-4.4738,-4.0483,1
"60",-0.78289,11.3603,-0.37644,-7.0495,0
"329",3.5152,6.8224,-0.67377,-0.46898,0
"281",0.20977,-0.46146,7.7267,0.90946,0
"1209",-1.9551,-6.9756,5.5383,-0.12889,1
"1189",-3.0201,-0.67253,2.7056,0.85774,1
"471",0.87256,9.2931,-0.7843,-2.1978,0
"947",-0.0012852,0.13863,-0.19651,0.0081754,1
"1068",-0.82601,2.9611,-1.2864,-1.4647,1
"732",1.0182,9.109,-0.62064,-1.7129,0
"706",4.364,-3.1039,2.3757,0.78532,0
"1264",-0.87834,3.257,-3.6778,-3.2944,1
"128",3.7818,-2.8846,2.2558,-0.15734,0
"620",0.56953,7.6294,1.5754,-3.2233,0
"607",-1.4275,11.8797,0.41613,-6.9978,0
"1182",-3.5895,-6.572,10.5251,-0.16381,1
"1342",-2.2625,-0.099335,2.8127,0.48662,1
"743",0.66191,9.6594,-0.28819,-1.6638,0
"1283",-1.9983,-6.6072,4.8254,-0.41984,1
"1273",-4.2333,4.9166,-0.49212,-5.3207,1
"604",3.7635,2.7811,0.66119,0.34179,0
"912",2.031,1.852,-3.0121,0.003003,1
"173",-1.6952,1.0657,8.8294,0.94955,0
"966",-0.21394,-0.68287,0.096532,1.1965,1
"1229",-1.3414,-1.9162,-0.15538,-0.11984,1
"20",5.2423,11.0272,-4.353,-4.1013,0
"728",-2.6479,10.1374,-1.331,-5.4707,0
"587",1.5456,8.5482,0.4187,-2.1784,0
"223",1.0987,0.6394,5.989,-0.58277,0
"645",3.0333,-2.5928,2.3183,0.303,0
"492",3.0632,-3.3315,5.1305,0.8267,0
"684",4.3365,-3.584,3.6884,0.74912,0
"905",0.50225,0.65388,-1.1793,0.39998,1
"1277",-0.89809,-4.4862,2.2009,0.50731,1
"331",1.0607,2.4542,2.5188,-0.17027,0
"426",1.742,-4.809,8.2142,-2.0659,0
"325",3.5257,1.2829,1.9276,1.7991,0
"132",5.1302,8.6703,-2.8913,-1.5086,0
"212",3.5156,10.1891,-4.2759,-4.978,0
"1212",-4.3967,4.9601,-0.64892,-5.4719,1
"925",1.5904,2.2121,-3.1183,-0.11725,1
"1131",-2.2918,-7.257,7.9597,0.9211,1
"1098",-2.5919,-1.0553,3.8949,0.77757,1
"1007",-0.98193,2.7956,-1.2341,-1.5668,1
"275",5.2756,0.13863,0.12138,1.1435,0
"274",2.6946,6.7976,-0.40301,0.44912,0
"1106",-1.6706,-2.09,1.584,0.71162,1
"938",-2.902,-7.6563,11.8318,-0.84268,1
"1278",0.56232,1.0015,-2.2726,-0.0060486,1
"1163",1.7331,3.9544,-4.7412,-2.5017,1
"576",2.6104,8.0081,-0.23592,-1.7608,0
"1080",0.12126,0.22347,-0.47327,0.97024,1
"1079",-0.37013,-5.554,4.7749,1.547,1
"1239",-1.0941,2.3072,-2.5237,-1.4453,1
"239",3.9994,0.90427,1.1693,1.6892,0
"551",3.9719,1.0367,0.75973,1.0013,0
